epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
72,12152.5,0.66481,0.28151,0.92787,0.82069,0.50888,0.66009,0.45615,1.6065,2.32241,1.46718,0.000495266,0.000495266,0.000495266
73,12311.8,0.65261,0.27732,0.93016,0.81345,0.51054,0.66183,0.45818,1.59425,2.29626,1.4735,0.000478762,0.000478762,0.000478762
74,12468.7,0.66188,0.27795,0.9273,0.80717,0.41764,0.59057,0.41613,1.65827,3.01233,1.51889,0.000462259,0.000462259,0.000462259
75,12623.3,0.6489,0.27509,0.92366,0.89284,0.39818,0.49933,0.35277,1.68434,2.68905,1.52811,0.000445756,0.000445756,0.000445756
76,12779.4,0.6499,0.27289,0.92554,0.86565,0.40683,0.57865,0.41096,1.70554,2.98112,1.54339,0.000429253,0.000429253,0.000429253
77,12933.2,0.65816,0.27415,0.93357,0.77329,0.46834,0.60225,0.41473,1.6476,2.49423,1.51787,0.000412749,0.000412749,0.000412749
78,13101.6,0.65522,0.27525,0.93402,0.80347,0.45259,0.6251,0.43313,1.66431,2.62628,1.52352,0.000396246,0.000396246,0.000396246
79,13329.2,0.6478,0.26749,0.92813,0.72474,0.48929,0.61712,0.42711,1.62066,2.39909,1.49514,0.000379743,0.000379743,0.000379743
80,13483.3,0.65189,0.27253,0.92917,0.75707,0.43462,0.57469,0.40471,1.60565,2.69806,1.48671,0.000363239,0.000363239,0.000363239
81,13636.6,0.64643,0.26946,0.92398,0.74274,0.4246,0.54719,0.38082,1.69376,2.58602,1.58112,0.000346736,0.000346736,0.000346736
82,13796.1,0.63879,0.26227,0.92611,0.77884,0.41392,0.58211,0.40367,1.65993,2.82242,1.55312,0.000330233,0.000330233,0.000330233
83,13954.6,0.62753,0.2647,0.92498,0.82467,0.41999,0.60114,0.41786,1.64277,2.81919,1.50758,0.000313729,0.000313729,0.000313729
84,14128.1,0.63135,0.261,0.91395,0.77098,0.51435,0.65028,0.44773,1.60738,2.25293,1.48494,0.000297226,0.000297226,0.000297226
85,14343,0.6348,0.26012,0.92422,0.7527,0.42916,0.59252,0.41585,1.64341,2.80079,1.52979,0.000280723,0.000280723,0.000280723
86,14521.1,0.62821,0.26225,0.92546,0.75495,0.49431,0.62542,0.43513,1.62139,2.46522,1.51993,0.00026422,0.00026422,0.00026422
87,14683.9,0.62232,0.25517,0.9133,0.77491,0.527,0.66235,0.45515,1.60556,2.33778,1.49177,0.000247716,0.000247716,0.000247716
88,14846.3,0.61767,0.25865,0.91945,0.75858,0.52679,0.65946,0.45663,1.59609,2.35862,1.49222,0.000231213,0.000231213,0.000231213
89,15015.5,0.61805,0.25542,0.91746,0.75173,0.50251,0.63554,0.44153,1.61573,2.38301,1.51636,0.00021471,0.00021471,0.00021471
90,15179.3,0.61651,0.25493,0.91167,0.75152,0.47563,0.60538,0.42315,1.61791,2.56704,1.51927,0.000198206,0.000198206,0.000198206
91,15434.6,0.60494,0.22794,0.92188,0.71887,0.45604,0.58573,0.41024,1.657,2.66462,1.51957,0.000181703,0.000181703,0.000181703
92,15595.9,0.6042,0.22774,0.91704,0.74111,0.46196,0.60278,0.41894,1.64661,2.66982,1.50542,0.0001652,0.0001652,0.0001652
93,15748.7,0.6006,0.2265,0.91989,0.75643,0.45982,0.61764,0.4341,1.59743,2.6969,1.48235,0.000148696,0.000148696,0.000148696
94,15904.6,0.58866,0.22673,0.91811,0.74366,0.44009,0.60695,0.42577,1.6354,2.83903,1.50809,0.000132193,0.000132193,0.000132193
95,16068.7,0.59068,0.22386,0.9134,0.76162,0.44829,0.61363,0.42879,1.63405,2.79681,1.51016,0.00011569,0.00011569,0.00011569
96,16246.2,0.58549,0.2222,0.91191,0.72459,0.46424,0.61192,0.42667,1.61598,2.7059,1.50475,9.91865e-05,9.91865e-05,9.91865e-05
97,16412,0.58185,0.21931,0.91403,0.71184,0.482,0.61594,0.43276,1.60562,2.57368,1.49268,8.26832e-05,8.26832e-05,8.26832e-05
98,16572.8,0.57723,0.21667,0.90484,0.71767,0.49021,0.62151,0.43389,1.6136,2.5351,1.50338,6.61799e-05,6.61799e-05,6.61799e-05
99,16732.2,0.56789,0.21653,0.90887,0.73887,0.50274,0.63445,0.44221,1.61492,2.48207,1.50964,4.96766e-05,4.96766e-05,4.96766e-05
100,16892.3,0.57195,0.21737,0.90545,0.72178,0.48931,0.62408,0.43519,1.62609,2.55654,1.51945,3.31733e-05,3.31733e-05,3.31733e-05
